pid,artist,location,label,date,keywords,object_type,source,order,layout,collection,thumbnail,full,manifest
gy_001,Someone,CRL,Parliament Building,2005-05-03,who,book,https://drive.google.com/file/d/1j6m0FBmedufZFj47_Yrz019IOnnXXiJX/view?usp=sharing,0,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_001/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_001/manifest.json
gy_002,Someone,CRL,Lighthouse,2005-05-03,guiana,exhibit,https://drive.google.com/file/d/18YrPaKrfVMyVPkrJnPExFy04-KMTYNsZ/view?usp=sharing,1,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_002/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_002/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_002/manifest.json
gy_011,Someone ,CRL,Insurance Company,1978-11-17,insurance,legal deposit,https://drive.google.com/file/d/1XPnwrQhEi-eXLRvmxeDk6k54f-EgvKm-/view?usp=sharing,10,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_011/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_011/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_011/manifest.json
gy_012,Unknown,CRL,Store,1966-11-18,grocery,legal deposit,https://drive.google.com/file/d/1C_6gzwPPNHwk86RnBcn_1zu29HsNjltD/view?usp=sharing,11,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_012/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_012/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_012/manifest.json
gy_013,Unknown,CRL,Tobacco Company,1948-11-19,roraima,legal deposit,https://drive.google.com/file/d/1hq8GMSjY9Kn_njY3z9Ow6tqsnxiOrvs2/view?usp=sharing,12,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_013/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_013/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_013/manifest.json
gy_014,Unknown,CRL,Manufacturing Company,1938-11-20,manufacturing,book,https://drive.google.com/file/d/1uqXDf6ihk_-YtWvgFsFmPD44L8-yc2Ow/view?usp=sharing,13,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_014/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_014/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_014/manifest.json
gy_015,Unknown,CRL,Garnette Company,2023-03-18,grocery,book,https://drive.google.com/file/d/1mkITKtCDRdU7Q4oyWYf0JgnRx-Us9jtg/view?usp=sharing,14,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_015/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_015/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_015/manifest.json
carifesta_001,Unknown,CRL,All kinds of  folk,2005-05-25,carifesta,manuscript,https://drive.google.com/file/d/1G8obuEZpLQXqbIO7UW1z3iij9mmWqbUy/view?usp=drive_link,15,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/carifesta_001_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/carifesta_001_0/full/1140,/0/default.jpg",/img/derivatives/iiif/carifesta_001/manifest.json
carifesta_002,Unknown,CRL,Art and Society,2005-05-25,carifesta,staff paper,https://drive.google.com/file/d/1gLVFe0pMNuOgH-jrrQwiSeXTd59g7zhZ/view?usp=sharing,16,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/carifesta_002_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/carifesta_002_00/full/1140,/0/default.jpg",/img/derivatives/iiif/carifesta_002/manifest.json
carifesta_003,Unknown,CRL,History of Theature,2005-05-25,carifesta,poem,https://drive.google.com/file/d/1jKhIo-Hmuwv86GfKc9k12MXo83itzDno/view?usp=drive_link,17,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/carifesta_003_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/carifesta_003_00/full/1140,/0/default.jpg",/img/derivatives/iiif/carifesta_003/manifest.json
